ObjectID,USER_District_Number,USER_District_Name,USER_District_Superintendent,USER_School_Number,Column2,USER_School_Name,USER_Instruction_Type,USER_NCES_School_ID,USER_School_City,USER_School_Principal,USER_Grade_Range,Enrollment,School_Type,Reading Not On Grade-Level,Math Not On Grade-Level,Attendance Rate,Chronic Absenteeism Rate,Teacher Count,Admin Count,Average Teacher Salary,Average Admin Salary,Campus Grade,Campus Score,,,
4080,'092907,SPRING HILL ISD,PENNY FLEET   ,'092907001,92907001,SPRING HILL High School,REGULAR INSTRUCTIONAL,'484119004709,LONGVIEW,MELINDA KAY TIDWELL   ,'09-12,570,High School,25%,51%,94.90%,16.10%,46,2,51656,88015,B,88,,,
4083,'092907,SPRING HILL ISD,PENNY FLEET   ,'092907042,92907042,SPRING HILL Junior High,REGULAR INSTRUCTIONAL,'484119005814,LONGVIEW,GEOFFREY JAMES GREGORY   ,'06-08,451,Middle School,32%,44%,95.80%,10.30%,30.9,2,52257,83914,B,84,,,
4084,'092907,SPRING HILL ISD,PENNY FLEET   ,'092907101,92907101,SPRING HILL Intermediate,REGULAR INSTRUCTIONAL,'484119004708,LONGVIEW,DANA ROBERTSON   ,'03-05,454,Elementary School,29%,30%,96.20%,6.20%,32.8,2.5,54423,74615,A,91,,,
4085,'092907,SPRING HILL ISD,PENNY FLEET   ,'092907103,92907103,SPRING HILL Primary,REGULAR INSTRUCTIONAL,'484119008795,LONGVIEW,MS DEANNA TURNER   ,'EE-02,426,Elementary School,.,.,95.60%,7.70%,34.3,2.5,52550,72925,A,91,,,
4086,'092908,WHITE OAK ISD,MR JACKSON PARKER   ,'092908001,92908001,WHITE OAK High School,REGULAR INSTRUCTIONAL,'484548005173,WHITE OAK,MR DAVID SKYLAR STAGNER   ,'09-12,406,High School,30%,53%,95.10%,14.80%,41.1,2,58379,84000,A,96,,,
4088,'092908,WHITE OAK ISD,MR JACKSON PARKER   ,'092908041,92908041,WHITE OAK Middle,REGULAR INSTRUCTIONAL,'484548005174,WHITE OAK,MR DALE HOSKINS   ,'06-08,362,Middle School,29%,54%,94.40%,14.10%,28.1,2,54207,74306,A,90,,,
4090,'092908,WHITE OAK ISD,MR JACKSON PARKER   ,'092908102,92908102,WHITE OAK Primary,REGULAR INSTRUCTIONAL,'484548006055,WHITE OAK,STEPHANIE BRADLEY   ,'EE-02,349,Elementary School,.,.,95.10%,12.00%,25.2,2,53202,67898,B,85,,,
4089,'092908,WHITE OAK ISD,MR JACKSON PARKER   ,'092908103,92908103,WHITE OAK Intermediate,REGULAR INSTRUCTIONAL,'484548006056,WHITE OAK,MRS SHANNA MCKELVEY   ,'03-05,311,Elementary School,46%,42%,95.50%,7.70%,26.7,2,52874,72430,B,85,,,
4092,'093901,ANDERSON-SHIRO CISD,DR SARAH BOROWICZ   ,'093901001,93901001,ANDERSON-SHIRO JR/SR High School,REGULAR INSTRUCTIONAL,'480823000193,ANDERSON,MRS TONYA CARROLL   ,'06-12,521,Elementary/Secondary,33%,44%,94.90%,14.30%,43,2,61190,82500,B,86,,,
4091,'093901,ANDERSON-SHIRO CISD,DR SARAH BOROWICZ   ,'093901101,93901101,ANDERSON-SHIRO Elementary,REGULAR INSTRUCTIONAL,'480823000192,ANDERSON,MRS COURTNEY KATKOSKI   ,'EE-05,458,Elementary School,35%,36%,95.30%,11.80%,33.8,1,56492,98918,B,86,,,
4094,'093903,IOLA ISD,JEFF DYER   ,'093903001,93903001,IOLA High School,REGULAR INSTRUCTIONAL,'482424002701,IOLA,MR BRIAN FOWLER   ,'06-12,315,Elementary/Secondary,25%,40%,95.50%,12.10%,31.8,1,59861,89440,A,92,,,
4095,'093903,IOLA ISD,JEFF DYER   ,'093903101,93903101,IOLA Elementary,REGULAR INSTRUCTIONAL,'482424002700,IOLA,MR DIANNE LUNA   ,'EE-05,311,Elementary School,36%,48%,95.40%,7.90%,25.4,2,53141,74815,C,77,,,
4093,'093904,NAVASOTA ISD,DR STU MUSICK   ,'093904002,93904002,NAVASOTA High School,REGULAR INSTRUCTIONAL,'483219003570,NAVASOTA,MRS KRISTI RAMSEY   ,'09-12,919,High School,53%,86%,93.20%,22.10%,68.4,4.8,64030,92966,C,77,,,
4097,'093904,NAVASOTA ISD,DR STU MUSICK   ,'093904005,93904005,W B BIZZELL ACADEMY,ALTERNATIVE INSTRUCTIONAL,'483219012965,NAVASOTA,LATOYA TAYLOR   ,'09-12,9,High School,67%,0%,79.80%,71.40%,3.8,1,62092,87130,Not Rated,0,,,
4099,'093904,NAVASOTA ISD,DR STU MUSICK   ,'093904042,93904042,NAVASOTA Junior High,REGULAR INSTRUCTIONAL,'483219006019,NAVASOTA,MS MONICA GUERRERO   ,'06-08,690,Middle School,52%,70%,93.10%,20.80%,50.9,3.1,60495,79290,C,76,,,
4096,'093904,NAVASOTA ISD,DR STU MUSICK   ,'093904104,93904104,JOHN C WEBB Elementary,REGULAR INSTRUCTIONAL,'483219003569,NAVASOTA,MRS TRACY BRICE   ,'EE-05,648,Elementary School,57%,62%,94.50%,15.30%,37.9,3,57519,74683,D,62,,,
4100,'093904,NAVASOTA ISD,DR STU MUSICK   ,'093904106,93904106,HIGH POINT Elementary,REGULAR INSTRUCTIONAL,'483219011227,NAVASOTA,MR JOHN BATHKE   ,'EE-05,519,Elementary School,66%,81%,94.60%,14.70%,32.8,1,58899,62289,F,59,,,
4098,'093904,NAVASOTA ISD,DR STU MUSICK   ,'093904107,93904107,BRULE Elementary,REGULAR INSTRUCTIONAL,'483219013359,NAVASOTA,VANIKIN LEGGETT   ,'PK-05,332,Elementary School,54%,58%,95.60%,7.00%,21.8,2,61513,74781,C,78,,,
4101,'093905,RICHARDS ISD,MR MICHAEL SMITH JR   ,'093905001,93905001,RICHARDS High School,REGULAR INSTRUCTIONAL,'483699004121,RICHARDS,DELYNN DECATUR   ,'EE-12,249,Elementary/Secondary,48%,72%,93.80%,18.20%,20.8,0,57102,.,C,73,,,
4103,'094901,SEGUIN ISD,DR VERONICA VIJIL   ,'094901001,94901001,SEGUIN High School,REGULAR INSTRUCTIONAL,'483969004512,SEGUIN,MS CHRISTINE PEREZ   ,'09-12,2020,High School,59%,82%,89.50%,37.80%,115.6,9.4,63413,103587,D,64,,,
4102,'094901,SEGUIN ISD,DR VERONICA VIJIL   ,'094901002,94901002,MERCER & BLUMBERG LRN CTR,ALTERNATIVE INSTRUCTIONAL,'483969006964,SEGUIN,DR DONALD HASTINGS   ,'09-12,73,High School,71%,100%,83.70%,69.20%,6.8,1,66736,91786,A,90,,,
4104,'094901,SEGUIN ISD,DR VERONICA VIJIL   ,'094901041,94901041,JIM BARNES Middle,REGULAR INSTRUCTIONAL,'483969021271,SEGUIN,MR JAY LAW   ,'06-08,762,Middle School,58%,80%,91.00%,32.90%,51,4,61521,89664,F,55,,,
4107,'094901,SEGUIN ISD,DR VERONICA VIJIL   ,'094901042,94901042,BRIESEMEISTER Middle,REGULAR INSTRUCTIONAL,'483969021272,SEGUIN,MRS LINDA GUZMAN   ,'06-08,798,Middle School,56%,77%,92.40%,26.50%,46.6,4,62452,104434,C,76,,,
4105,'094901,SEGUIN ISD,DR VERONICA VIJIL   ,'094901101,94901101,BALL EARLY CHILDHOOD CENTER,REGULAR INSTRUCTIONAL,'483969004506,SEGUIN,MRS DEBRA REILEY   ,'EE-PK,422,Elementary School,.,.,.,.,25.5,2,62151,80639,B,81,,,
4106,'094901,SEGUIN ISD,DR VERONICA VIJIL   ,'094901103,94901103,JEFFERSON AVE Elementary,REGULAR INSTRUCTIONAL,'483969004508,SEGUIN,MRS MARIA GUERRA   ,'KG-05,409,Elementary School,80%,89%,91.60%,31.10%,22.5,2,63497,82426,B,84,,,
4108,'094901,SEGUIN ISD,DR VERONICA VIJIL   ,'094901104,94901104,ORALIA R RODRIGUEZ Elementary,REGULAR INSTRUCTIONAL,'483969006473,SEGUIN,OFELIA SANTIAGO   ,'KG-05,499,Elementary School,63%,52%,93.00%,24.90%,29.7,2,64182,80534,D,67,,,
4111,'094901,SEGUIN ISD,DR VERONICA VIJIL   ,'094901105,94901105,WEINERT Elementary,REGULAR INSTRUCTIONAL,'483969021274,SEGUIN,MRS TIFFANY WEHE   ,'KG-05,443,Elementary School,58%,71%,93.70%,19.20%,30,2,62374,79200,C,76,,,
4109,'094901,SEGUIN ISD,DR VERONICA VIJIL   ,'094901106,94901106,MCQUEENEY Elementary,REGULAR INSTRUCTIONAL,'483969004509,MCQUEENEY,MS TRISHA ECKOLS   ,'KG-05,324,Elementary School,54%,59%,93.60%,18.70%,20.7,2,65368,81083,B,80,,,
4110,'094901,SEGUIN ISD,DR VERONICA VIJIL   ,'094901108,94901108,PATLAN Elementary,REGULAR INSTRUCTIONAL,'483969006474,SEGUIN,MS ANNALIZA RANGEL   ,'KG-05,424,Elementary School,53%,58%,94.40%,15.20%,26.4,2,61923,78274,B,81,,,
4112,'094901,SEGUIN ISD,DR VERONICA VIJIL   ,'094901109,94901109,KOENNECKE Elementary,REGULAR INSTRUCTIONAL,'483969006475,SEGUIN,MRS LESLIE MAHAFFEY   ,'KG-05,560,Elementary School,51%,64%,94.50%,13.50%,30.5,2,62516,78584,B,81,,,
4113,'094901,SEGUIN ISD,DR VERONICA VIJIL   ,'094901110,94901110,VOGEL Elementary,REGULAR INSTRUCTIONAL,'483969021275,SEGUIN,MRS RHONDA GARCIA-TRAINER   ,'KG-05,484,Elementary School,60%,63%,94.00%,19.00%,25.8,2,63782,83367,C,79,,,
4114,'094901,SEGUIN ISD,DR VERONICA VIJIL   ,'094901111,94901111,DISCIPLINE ALTERNATIVE SCHOOL AT SAEGERT,DAEP INSTRUCTIONAL,'483969004070,SEGUIN,MR AARON HANNAH   ,'01-12,44,Elementary/Secondary,.,.,84.40%,46.10%,6.6,1,65397,95000,Not Rated,0,,,
4117,'094901,SEGUIN ISD,DR VERONICA VIJIL   ,'094901112,94901112,JUVENILE DETENTION CENTER,ALTERNATIVE INSTRUCTIONAL,'483969009251,SEGUIN,MR AARON HANNAH   ,'01-12,28,Elementary/Secondary,0%,0%,100.00%,0.00%,1,0,65791,.,Not Rated,0,,,
4116,'094902,SCHERTZ-CIBOLO-U CITY ISD,MS PAIGE A MELONI   ,'094902001,94902001,SAMUEL CLEMENS High School,REGULAR INSTRUCTIONAL,'483948004488,SCHERTZ,MS AMY SIRIZZOTTI   ,'09-12,2589,High School,36%,60%,93.90%,17.70%,141.3,7,63658,91275,C,79,,,
4118,'094902,SCHERTZ-CIBOLO-U CITY ISD,MS PAIGE A MELONI   ,'094902002,94902002,ALLISON L STEELE E L C,ALTERNATIVE INSTRUCTIONAL,'483948016965,SCHERTZ,MR JOEY TREVINO   ,'09-12,87,High School,67%,96%,77.80%,67.30%,11,1,67433,97462,B,81,,,
4119,'094902,SCHERTZ-CIBOLO-U CITY ISD,MS PAIGE A MELONI   ,'094902003,94902003,BYRON P STEELE II High School,REGULAR INSTRUCTIONAL,'483948010700,SCHERTZ,MR JUSTIN LINTHICUM   ,'09-12,2793,High School,37%,67%,94.60%,16.10%,154.2,7.1,63298,94121,B,86,,,
4120,'094902,SCHERTZ-CIBOLO-U CITY ISD,MS PAIGE A MELONI   ,'094902041,94902041,RAY D CORBETT Junior High,REGULAR INSTRUCTIONAL,'483948004487,SCHERTZ,MS STACY M MCWILLIAMS   ,'07-08,1113,Junior High School,49%,48%,94.10%,15.70%,62.2,3,61304,91449,B,85,,,
4121,'094902,SCHERTZ-CIBOLO-U CITY ISD,MS PAIGE A MELONI   ,'094902042,94902042,DOBIE Junior High,REGULAR INSTRUCTIONAL,'483948007898,CIBOLO,MS WINDI HUGHES   ,'07-08,1231,Junior High School,44%,43%,95.00%,13.20%,73.4,5,61370,90121,B,82,,,
4122,'094902,SCHERTZ-CIBOLO-U CITY ISD,MS PAIGE A MELONI   ,'094902101,94902101,WIEDERSTEIN Elementary,REGULAR INSTRUCTIONAL,'483948004490,CIBOLO,MS ASHLEY HAWK   ,'EE-04,564,Elementary School,56%,63%,94.70%,11.60%,38.2,3,62586,79131,C,74,,,
4123,'094902,SCHERTZ-CIBOLO-U CITY ISD,MS PAIGE A MELONI   ,'094902102,94902102,ROSE GARDEN Elementary,REGULAR INSTRUCTIONAL,'483948004486,SCHERTZ,MS SARAH E REED   ,'EE-04,861,Elementary School,69%,78%,93.20%,21.40%,58.8,4,60931,77913,D,64,,,
4126,'094902,SCHERTZ-CIBOLO-U CITY ISD,MS PAIGE A MELONI   ,'094902103,94902103,SCHERTZ Elementary,REGULAR INSTRUCTIONAL,'483948004489,SCHERTZ,MS GERI POPE   ,'EE-04,663,Elementary School,61%,74%,94.10%,16.50%,50.6,5,63271,77722,D,69,,,
4124,'094902,SCHERTZ-CIBOLO-U CITY ISD,MS PAIGE A MELONI   ,'094902108,94902108,LAURA INGALLS WILDER Intermediate,REGULAR INSTRUCTIONAL,'483948007616,SCHERTZ,MR PHILLIP JACKSON   ,'05-06,702,Middle School,45%,59%,94.20%,16.40%,53.9,4,61857,82369,B,88,,,
4128,'094902,SCHERTZ-CIBOLO-U CITY ISD,MS PAIGE A MELONI   ,'094902109,94902109,BARBARA JORDAN Intermediate,REGULAR INSTRUCTIONAL,'483948007899,CIBOLO,MS TINA CURTIS   ,'05-06,811,Middle School,42%,47%,94.40%,13.30%,52.2,2,62686,99258,B,85,,,
4129,'094902,SCHERTZ-CIBOLO-U CITY ISD,MS PAIGE A MELONI   ,'094902110,94902110,WATTS Elementary,REGULAR INSTRUCTIONAL,'483948008223,CIBOLO,MRS LEE CONN   ,'EE-04,500,Elementary School,64%,70%,93.70%,20.30%,39.7,4,61677,77224,C,77,,,
4127,'094902,SCHERTZ-CIBOLO-U CITY ISD,MS PAIGE A MELONI   ,'094902111,94902111,NORMA J PASCHAL Elementary,REGULAR INSTRUCTIONAL,'483948009627,SCHERTZ,ALLISON MILLER   ,'EE-04,574,Elementary School,44%,58%,95.40%,8.70%,42.9,3,62310,85731,B,86,,,
4131,'094902,SCHERTZ-CIBOLO-U CITY ISD,MS PAIGE A MELONI   ,'094902112,94902112,GREEN VALLEY Elementary,REGULAR INSTRUCTIONAL,'483948009604,SCHERTZ,MRS TRINA SIMMONS   ,'EE-04,503,Elementary School,60%,59%,94.40%,13.80%,35.3,3,62769,79365,B,89,,,
4130,'094902,SCHERTZ-CIBOLO-U CITY ISD,MS PAIGE A MELONI   ,'094902113,94902113,JOHN A SIPPEL Elementary,REGULAR INSTRUCTIONAL,'483948011556,SCHERTZ,MR MICHAEL KEOUGH   ,'EE-04,641,Elementary School,50%,61%,94.80%,11.80%,45,3,62371,77703,B,84,,,
4133,'094902,SCHERTZ-CIBOLO-U CITY ISD,MS PAIGE A MELONI   ,'094902114,94902114,ELAINE S SCHLATHER Intermediate,REGULAR INSTRUCTIONAL,'483948011539,CIBOLO,MS CLAREATHA BRISTOW   ,'05-06,724,Middle School,44%,40%,94.90%,11.90%,47.9,2,63442,88347,B,85,,,
4132,'094902,SCHERTZ-CIBOLO-U CITY ISD,MS PAIGE A MELONI   ,'094902115,94902115,CIBOLO VALLEY Elementary,REGULAR INSTRUCTIONAL,'483948012975,CIBOLO,MS JULIE HARDY   ,'EE-04,591,Elementary School,63%,70%,94.70%,12.40%,45.8,3,62294,78103,C,76,,,
4138,'094903,NAVARRO ISD,MANDY EPLEY   ,'094903001,94903001,NAVARRO High School,REGULAR INSTRUCTIONAL,'483216003568,SEGUIN,MR CLAY SCARBOROUGH   ,'09-12,703,High School,39%,61%,93.80%,17.60%,51.8,1.3,59527,84251,B,82,,,
4140,'094903,NAVARRO ISD,MANDY EPLEY   ,'094903041,94903041,NAVARRO Junior High,REGULAR INSTRUCTIONAL,'483216007296,SEGUIN,MS TORI BEUTNAGEL   ,'06-08,610,Middle School,43%,55%,94.50%,13.80%,32.3,3,58194,81184,C,76,,,
4134,'094903,NAVARRO ISD,MANDY EPLEY   ,'094903101,94903101,NAVARRO Elementary,REGULAR INSTRUCTIONAL,'483216003567,SEGUIN,LAUREL WILSON   ,'PK-02,719,Elementary School,.,.,93.80%,18.80%,45.3,1,58500,88201,B,81,,,
4136,'094903,NAVARRO ISD,MANDY EPLEY   ,'094903102,94903102,NAVARRO Intermediate,REGULAR INSTRUCTIONAL,'483216011228,SEGUIN,MICHELLE SCHWARZLOSE   ,'03-05,670,Elementary School,47%,47%,95.00%,13.30%,40.7,2,60271,78137,B,84,,,
4135,'094904,MARION ISD,DR DON BECK   ,'094904001,94904001,MARION High School,REGULAR INSTRUCTIONAL,'482910003280,MARION,MS STACEY SANDERS JOHNSTON   ,'09-12,516,High School,38%,48%,93.80%,16.00%,38.2,1,58799,105230,B,87,,,
4137,'094904,MARION ISD,DR DON BECK   ,'094904003,94904003,MARION ALTERNATIVE CENTER,DAEP INSTRUCTIONAL,'482910013401,MARION,MS STACEY SANDERS JOHNSTON   ,'05-12,12,Elementary/Secondary,0%,0%,93.40%,26.50%,1.2,0,57822,.,Not Rated,0,,,
4144,'094904,MARION ISD,DR DON BECK   ,'094904041,94904041,MARION Middle,REGULAR INSTRUCTIONAL,'482910003281,MARION,MRS VALERIE DAVIS   ,'06-08,396,Middle School,47%,59%,94.90%,11.00%,27.3,3,56680,76391,C,79,,,
4139,'094904,MARION ISD,DR DON BECK   ,'094904101,94904101,NORMA KRUEGER Elementary-PRIMARY,REGULAR INSTRUCTIONAL,'482910003282,MARION,MRS LAURA ELIZABETH TOTTEN   ,'EE-02,398,Elementary School,.,.,94.70%,12.90%,25.6,1.5,55441,81155,C,77,,,
4141,'094904,MARION ISD,DR DON BECK   ,'094904102,94904102,NORMA KRUEGER Elementary/BERT KARRER CAMPUS,REGULAR INSTRUCTIONAL,'482910009632,MARION,MRS SHEA BIRD   ,'03-05,387,Elementary School,48%,55%,95.30%,8.20%,25.7,1.5,55646,75873,C,77,,,
4143,'095901,ABERNATHY ISD,AARON WALDRIP   ,'095901001,95901001,ABERNATHY High School,REGULAR INSTRUCTIONAL,'480741000008,ABERNATHY,TRAVIS ALBRIGHT   ,'09-12,237,High School,39%,33%,94.10%,19.40%,26.4,2,52580,77750,A,91,,,
4142,'095901,ABERNATHY ISD,AARON WALDRIP   ,'095901003,95901003,ABERNATHY DAEP,DAEP INSTRUCTIONAL,'480741009626,ABERNATHY,,'05-12,0,Elementary/Secondary,.,.,.,.,.,.,.,.,?,?,,,
4145,'095901,ABERNATHY ISD,AARON WALDRIP   ,'095901041,95901041,ABERNATHY Middle,REGULAR INSTRUCTIONAL,'480741000009,ABERNATHY,OLLIE HART   ,'06-08,171,Middle School,31%,35%,94.60%,17.90%,15.5,1.7,50297,71369,A,90,,,
4146,'095901,ABERNATHY ISD,AARON WALDRIP   ,'095901101,95901101,ABERNATHY Elementary,REGULAR INSTRUCTIONAL,'480741000007,ABERNATHY,JOANNA FULLINGIM   ,'EE-05,400,Elementary School,48%,59%,95.20%,11.20%,31.7,2,52300,72500,C,76,,,
4148,'095902,COTTON CENTER ISD,MR RYAN BOBO   ,'095902001,95902001,COTTON CENTER SCHOOL,REGULAR INSTRUCTIONAL,'481536001112,COTTON CENTER,ALLEN KEYS   ,'PK-12,100,Elementary/Secondary,49%,58%,98.70%,1.10%,15.2,0.4,47647,69656,A,91,,,
4147,'095903,HALE CENTER ISD,KELLY BAGGETT   ,'095903001,95903001,HALE CENTER High School,REGULAR INSTRUCTIONAL,'482205002219,HALE CENTER,MRS MISTY MCCLURG   ,'09-12,174,High School,54%,77%,93.50%,22.60%,16.5,0.3,53586,89319,B,89,,,
4149,'095903,HALE CENTER ISD,KELLY BAGGETT   ,'095903002,95903002,HALE CO J J A E P,JJAEP INSTRUCTIONAL,'482205008580,HALE CENTER,MR JANCE MORRIS   ,'05-12,0,Elementary/Secondary,.,.,.,.,.,.,.,.,?,?,,,
4150,'095903,HALE CENTER ISD,KELLY BAGGETT   ,'095903102,95903102,AKIN Elementary,REGULAR INSTRUCTIONAL,'482205002218,HALE CENTER,SHERRI LOCKE   ,'EE-04,226,Elementary School,67%,63%,94.90%,12.30%,20.8,1,51966,82750,C,74,,,
4151,'095903,HALE CENTER ISD,KELLY BAGGETT   ,'095903103,95903103,CARR Middle,REGULAR INSTRUCTIONAL,'482205006709,HALE CENTER,MR CLINT PATTERSON   ,'05-08,161,Middle School,66%,65%,93.40%,18.90%,14.4,1,47224,70000,B,82,,,
4153,'095904,PETERSBURG ISD,MR TODD E NEWBERRY   ,'095904001,95904001,PETERSBURG SCHOOL,REGULAR INSTRUCTIONAL,'483468003893,PETERSBURG,KRISTA BENNETT   MICHELLE STUART   ,'EE-12,243,Elementary/Secondary,55%,64%,94.80%,14.90%,28.1,3,52852,78633,B,86,,,
4155,'095905,PLAINVIEW ISD,DR HT SANCHEZ   ,'095905001,95905001,PLAINVIEW High School,REGULAR INSTRUCTIONAL,'483507021279,PLAINVIEW,BRANDT REAGAN   ,'09-12,1418,High School,56%,63%,89.50%,42.10%,113,5.1,58302,85537,B,80,,,
4156,'095905,PLAINVIEW ISD,DR HT SANCHEZ   ,'095905004,95905004,HALE COUNTY JJAEP,JJAEP INSTRUCTIONAL,'483507008224,PLAINVIEW,EDDIE SUBEALDEA   ,'04-12,18,Elementary/Secondary,.,.,88.20%,48.70%,.,.,.,.,Not Rated,0,,,
4160,'095905,PLAINVIEW ISD,DR HT SANCHEZ   ,'095905121,95905121,PLAINVIEW Junior High,REGULAR INSTRUCTIONAL,'483507022847,PLAINVIEW,KEVIN PARKER   ,'07-08,634,Junior High School,58%,73%,92.90%,22.40%,49.5,3.8,52442,76052,C,72,,,
4157,'095905,PLAINVIEW ISD,DR HT SANCHEZ   ,'095905122,95905122,PLAINVIEW Intermediate,REGULAR INSTRUCTIONAL,'483507022848,PLAINVIEW,DEBORAH ALCOZER   ,'05-06,554,Middle School,67%,71%,92.80%,24.10%,44.7,1,54552,68515,D,63,,,
4159,'095905,PLAINVIEW ISD,DR HT SANCHEZ   ,'095905123,95905123,NORTH Elementary,REGULAR INSTRUCTIONAL,'483507022849,PLAINVIEW,SARAH WALLACE   ,'EE-04,492,Elementary School,66%,73%,93.10%,22.20%,31.9,2.4,55134,78315,B,84,,,
4158,'095905,PLAINVIEW ISD,DR HT SANCHEZ   ,'095905124,95905124,CENTRAL Elementary,REGULAR INSTRUCTIONAL,'483507022850,PLAINVIEW,MRS SARAH WILLIAMS   ,'EE-04,505,Elementary School,61%,66%,93.30%,21.60%,35.8,2,54200,76202,A,91,,,
4161,'095905,PLAINVIEW ISD,DR HT SANCHEZ   ,'095905125,95905125,SOUTH Elementary,REGULAR INSTRUCTIONAL,'483507022851,PLAINVIEW,SUSIE GARCIA   ,'EE-04,456,Elementary School,67%,74%,92.90%,25.10%,30,3,53556,72382,B,88,,,
4164,'096904,MEMPHIS ISD,WILLIAM ALEXANDER   ,'096904001,96904001,MEMPHIS High School,REGULAR INSTRUCTIONAL,'483018003381,MEMPHIS,RICHARD HUTCHERSON   ,'09-12,117,High School,46%,44%,93.80%,16.30%,15.6,1,63517,96730,B,87,,,
4162,'096904,MEMPHIS ISD,WILLIAM ALEXANDER   ,'096904041,96904041,MEMPHIS Middle,REGULAR INSTRUCTIONAL,'483018003382,MEMPHIS,KENNITH WESLEY HARDIN   ,'06-08,77,Middle School,46%,56%,95.70%,12.00%,10.1,1,56067,81455,B,87,,,
4166,'096904,MEMPHIS ISD,WILLIAM ALEXANDER   ,'096904101,96904101,AUSTIN Elementary,REGULAR INSTRUCTIONAL,'483018003380,MEMPHIS,MISTY PARR   ,'PK-05,139,Elementary School,49%,42%,94.70%,11.60%,10.7,1,54324,83945,A,91,,,
4163,'096904,MEMPHIS ISD,WILLIAM ALEXANDER   ,'096904103,96904103,TRAVIS Elementary,REGULAR INSTRUCTIONAL,'483018003383,MEMPHIS,MISTY PARR   ,'EE,12,Elementary School,.,.,.,.,3.9,1,49649,60822,?,?,,,
4165,'096905,TURKEY-QUITAQUE ISD,JACQUELINE A JENKINS   ,'096905001,96905001,VALLEY SCHOOL,REGULAR INSTRUCTIONAL,'484340004926,TURKEY,MR JERRY BRANDON SMITH   ,'EE-12,180,Elementary/Secondary,28%,48%,95.20%,10.50%,25.2,0.2,48317,80000,A,95,,,
4168,'097902,HAMILTON ISD,DR HARPER STEWART   ,'097902001,97902001,HAMILTON High School,REGULAR INSTRUCTIONAL,'482223002232,HAMILTON,GINA POE   ,'09-12,247,High School,24%,46%,94.60%,18.80%,25.1,1,61755,92923,B,87,,,
4169,'097902,HAMILTON ISD,DR HARPER STEWART   ,'097902041,97902041,HAMILTON Junior High,REGULAR INSTRUCTIONAL,'482223008225,HAMILTON,MRS MONA GLOFF   ,'06-08,194,Middle School,41%,69%,95.00%,13.30%,17,2,50947,83500,B,86,,,
4170,'097902,HAMILTON ISD,DR HARPER STEWART   ,'097902102,97902102,ANN WHITNEY Elementary,REGULAR INSTRUCTIONAL,'482223005997,HAMILTON,MARIE BARROWS   ,'EE-05,382,Elementary School,47%,54%,95.30%,13.40%,39.9,3,55921,74867,C,72,,,
4167,'097903,HICO ISD,SHELLI STEGALL   ,'097903001,97903001,HICO High School,REGULAR INSTRUCTIONAL,'482307002345,HICO,MR PHILIP WADE   ,'06-12,324,Elementary/Secondary,29%,64%,94.70%,12.20%,29.9,2,59018,87789,B,81,,,
4176,'097903,HICO ISD,SHELLI STEGALL   ,'097903101,97903101,HICO Elementary,REGULAR INSTRUCTIONAL,'482307021284,HICO,MRS MELISSA KNITTEL   ,'EE-05,303,Elementary School,54%,66%,94.90%,9.60%,22.8,1,54209,84000,C,74,,,
4172,'098901,GRUVER ISD,WADE CALLAWAY   ,'098901001,98901001,GRUVER High School,REGULAR INSTRUCTIONAL,'482193002210,GRUVER,MRS DELMA HABERTHUR   ,'09-12,141,High School,12%,10%,96.30%,3.20%,19.6,0.9,54053,70341,A,98,,,
4173,'098901,GRUVER ISD,WADE CALLAWAY   ,'098901041,98901041,GRUVER Junior High,REGULAR INSTRUCTIONAL,'482193002211,GRUVER,LEXY GLASS   ,'05-08,115,Middle School,11%,17%,96.80%,0.00%,12.2,1,52412,74344,A,94,,,
4171,'098901,GRUVER ISD,WADE CALLAWAY   ,'098901101,98901101,GRUVER Elementary,REGULAR INSTRUCTIONAL,'482193002209,GRUVER,MRS AMBER HOLLAND   ,'EE-04,153,Elementary School,23%,32%,96.00%,3.60%,19.2,1,48618,85911,A,91,,,
4178,'098903,PRINGLE-MORSE CISD,MR SCOTT BURROW   ,'098903101,98903101,PRINGLE-MORSE SCHOOLS,REGULAR INSTRUCTIONAL,'483589004061,MORSE,MR JORDAN HICKS   ,'EE-12,128,Elementary/Secondary,44%,48%,95.00%,11.00%,17.7,0.8,48702,67200,C,77,,,
4175,'098904,SPEARMAN ISD,JAMES LAYMAN   ,'098904001,98904001,SPEARMAN High School,REGULAR INSTRUCTIONAL,'484101004664,SPEARMAN,SHANNON JACKSON   ,'09-12,189,High School,35%,48%,95.10%,15.50%,22.4,0.7,49519,80854,A,95,,,
4174,'098904,SPEARMAN ISD,JAMES LAYMAN   ,'098904041,98904041,SPEARMAN Junior High,REGULAR INSTRUCTIONAL,'484101004665,SPEARMAN,MRS KARINA BACA   ,'06-08,160,Middle School,40%,46%,96.30%,6.60%,17.6,1.7,48157,76431,C,78,,,
4177,'098904,SPEARMAN ISD,JAMES LAYMAN   ,'098904101,98904101,GUS BIRDWELL Elementary,REGULAR INSTRUCTIONAL,'484101004663,SPEARMAN,MRS LIZET OLMOS   ,'EE-05,343,Elementary School,35%,42%,96.10%,6.10%,32.6,2,51791,78500,B,82,,,
